dstag,delta,gamma_e,Ma_edge,p_exi,T_ratio,R0,Ma0,u1,rho1,p1
4.20056593057338,0.0534632300802907,1.40870838772566,1.19059349352597,-0.0254386055310633,4.00399254866984,94.1175060309427,1.19057402681408,1.0000564438887,1,2.84222174770284
4.18012004618314,0.0532928359410548,1.40865543018548,1.17444089365608,-0.0188036707264988,4.18642518089931,140.178397513964,1.17443247148762,1.00002544499074,1,2.97188726774091
4.15800971731955,0.0530999145212353,1.4086045117224,1.1621859200981,-0.0146830790375863,4.25453256145504,194.19244264841,1.16218166800306,1.00001325874677,1,3.0203661808193
4.13410763671912,0.0529508895219637,1.40855425729451,1.15219446848293,-0.0123502691967584,4.28536092206623,247.180603927301,1.15219191144669,1.00000818350683,1,3.04236906679814
4.10827792961246,0.0528401634051676,1.40850108443895,1.14330804471957,-0.0110660193957915,4.30279271723848,294.192809825783,1.14330628129094,1.00000577703025,1,3.05486413294504
4.08037609673302,0.0532128682994975,1.40844457551879,1.1348406174945,-0.0102484140459328,4.31196121904763,338.953588257639,1.13483931853222,1.000004351997,1,3.06149877878103
4.05024903722457,0.0531650260857238,1.40837815509964,1.12727869758502,-0.0100453626854811,4.31685677368256,367.653906988967,1.12727761560955,1.00000369905535,1,3.06512030970858
4.01773389500711,0.0537401809596794,1.40831672890949,1.11877513162756,-0.00977363386998435,4.31943705000777,406.556097269297,1.11877426681073,1.00000302502097,1,3.06708731314804
3.98265885473233,0.053761440698257,1.40826581805351,1.10937314260535,-0.00974159657506519,4.32051846820867,444.932422451561,1.10937243867863,1.00000252569758,1,3.06796694903436
3.94484238743314,0.0540822203918182,1.40822041509651,1.0985922749827,-0.0096502759056395,4.32038282181216,500.817172513428,1.09859173548996,1.00000199347662,1,3.06797042012844
3.90409406426158,0.0539660922546051,1.40817876848468,1.08746051279033,-0.00969116266914431,4.31968886620226,565.177705245532,1.08746010196178,1.00000156530734,1,3.06756904665292
3.8602132608989,0.0539100895269955,1.40814034988444,1.07528764259215,-0.0097198961918437,4.31814563814332,658.459339373919,1.07528734999816,1.00000115321911,1,3.06655745536807
3.81299145025122,0.0536824294002437,1.40810505900575,1.06239820375465,-0.00978688791199172,4.31615473072805,793.971171142086,1.06239800968197,1.0000007931592,1,3.06522096929055
3.7622106632908,0.0537949757748833,1.40807332032514,1.04815618937302,-0.00973141990003175,4.31343717684176,1041.84747898459,1.04815608114297,1.00000046063996,1,3.06336056779756
3.70764444304534,0.0536592237075868,1.40804610786178,1.03321957801319,-0.00973671314431556,4.31022538792547,1520.56945314226,1.03321952934843,1.00000021625066,1,3.06113909042842
3.64905980044148,0.0532652944866645,1.40802343190509,1.01773580932371,-0.00983991053770295,4.3057514460811,2839.82761945848,1.01773579599014,1.00000006199919,1,3.0580111351089
3.5862167095378,0.0530725691548095,1.4080058983226,1.000847126522,-0.00988583360572644,4.30105900039396,59679.3995289303,1.00084712649329,1.00000000014039,1,3.05471660684886
3.51887000536048,0.0530020008638704,1.40799485162051,0.982454941143596,-0.00987111246877669,4.29523555147539,2912.57532554907,0.982454929741668,-1.00000005894075,1,3.05060451523296
3.44677090372897,0.0525009507297812,1.40799111242671,0.963754024199554,-0.0100047265575915,4.28804144323414,1404.27048011118,0.963753977898832,-1.0000002535528,1,3.04550291076126
3.36966926001039,0.0521251005805263,1.40799517443881,0.94344288692975,-0.0100872251497693,4.28054569566317,901.931579953605,0.943442781637933,-1.00000061464264,1,3.04017003603648
3.28731412019909,0.0518181324324959,1.40800780900658,0.92143086386963,-0.0101113900427337,4.27146879752048,655.115820085752,0.921430677934932,-1.00000116502053,1,3.03369558487234
3.19945813915967,0.0512235012025187,1.40802945791554,0.898581154878258,-0.0101917832088986,4.26191287506515,509.57605202719,0.898580869851771,-1.00000192553566,1,3.02686151016344
3.10585923586313,0.0503616577862046,1.40805366367592,0.874907731035163,-0.0105731275741183,4.25104254577597,403.269032871022,0.874907310933895,-1.00000307453605,1,3.01908838635006
3.00628358478505,0.0492305165249237,1.40807909263206,0.849001564975298,-0.010830296722694,4.24008641984585,330.7197804167,0.84900099416862,-1.00000457139417,1,3.01125181148224
2.90518608293315,0.0485889848987559,1.40812426173766,0.822196402396975,-0.0108400331056012,4.22953875190186,284.737612560017,0.822195702927276,-1.00000616707154,1,3.0036635760173
2.80408784028128,0.0481163348289906,1.40817694451475,0.795179403512627,-0.0110403711070482,4.21976800322754,246.346928348542,0.795178558060831,-1.0000082389888,1,2.99661136093287
2.7029893816656,0.0475892979262849,1.40823451139973,0.768170515689662,-0.0113148850447507,4.21123977687508,215.610789013803,0.768169520557403,-1.00001075540308,1,2.99043151678766
2.60189119289686,0.0470894124138484,1.40829561183873,0.74099081479082,-0.011571158658678,4.20354559204474,191.657536853389,0.74098968421317,-1.00001361179011,1,2.98483694011019
2.50079333045704,0.0465256786472017,1.40835953700466,0.713944558274654,-0.0118925376493199,4.19607285372368,171.5117312836,0.713943295321155,-1.00001699724959,1,2.97939403820483
2.39969588330165,0.0459338093173957,1.40842562978072,0.686957012257639,-0.0122853930561962,4.18859440380089,154.141394239932,0.686955619095087,-1.00002104393099,1,2.97394290912181
2.2985980999688,0.0453871993700074,1.40849291507884,0.659703649560765,-0.0126948924004777,4.18169271806117,139.476274397162,0.659702142367196,-1.00002570181225,1,2.96889928652555
2.19749996711272,0.0448598303120972,1.40856011493901,0.632302288270884,-0.0131598611992994,4.17481410009113,126.612102753875,0.632300677557996,-1.00003118981426,1,2.96387267123525
