dstag,delta,gamma_e,Ma_edge,p_exi,T_ratio,delta,gam0,Ma,R0,rho1,u1,p1,Ma_e,p_exi,a2_e,res2,cvg,niter
4.20056593057338,0.0534632300802907,1.40870838772566,1.19059349352597,-0.0254386055310633,4.00399254866984,1,1.40870838772566,4.51400960230362,94.1175060264331,1,0.527732020306762,1,1.19059349353638,-0.0254386055307708,4.00399254866922,1.44477196456176e-11,3,29
4.18012004618314,0.0532928359410548,1.40865543018548,1.17444089365608,-0.0188036707264988,4.18642518089931,1,1.40865543018548,4.622700201499,140.178397513133,1,0.519803281387262,1,1.17444089365864,-0.0188036707263121,4.18642518089899,1.01633078323683e-11,3,30
4.15800971731955,0.0530999145212353,1.4086045117224,1.1621859200981,-0.0146830790375863,4.25453256145504,1,1.4086045117224,4.65581746461676,194.192442647457,1,0.514866846047766,1,1.16218592010071,-0.0146830790374048,4.25453256145467,1.25633890587757e-11,3,31
4.13410763671912,0.0529508895219637,1.40855425729451,1.15219446848293,-0.0123502691967584,4.28536092206623,1,1.40855425729451,4.66604706699614,247.180603874354,1,0.511167314751426,1,1.15219446851685,-0.0123502691964564,4.28536092206434,3.82729265087474e-11,3,31
4.10827792961246,0.0528401634051676,1.40850108443895,1.14330804471957,-0.0110660193957915,4.30279271723848,1,1.40850108443895,4.66848749323325,294.192809793644,1,0.507991695126571,1,1.14330804474078,-0.0110660193952537,4.30279271723683,5.20190219235403e-11,3,32
4.08037609673302,0.0532128682994975,1.40844457551879,1.1348406174945,-0.0102484140459328,4.31196121904763,1,1.40844457551879,4.66590799154828,338.953585978219,1,0.50504659569206,1,1.13484061784818,-0.0102484140862686,4.31196121903864,3.948120052703e-09,3,32
4.05024903722457,0.0531650260857238,1.40837815509964,1.12727869758502,-0.0100453626854811,4.31685677368256,1,1.40837815509964,4.66151946324376,367.653905643554,1,0.502438940502429,1,1.12727869783628,-0.0100453627012228,4.31685677367425,1.58283478788915e-09,3,33
4.01773389500711,0.0537401809596794,1.40831672890949,1.11877513162756,-0.00977363386998435,4.31943705000777,1,1.40831672890949,4.6546340468642,406.556094761041,1,0.499536159000893,1,1.11877513198577,-0.00977363389915191,4.319437049996,3.00143774232677e-09,3,34
3.98265885473233,0.053761440698257,1.40826581805351,1.10937314260535,-0.00974159657506519,4.32051846820867,1,1.40826581805351,4.64583472656277,444.932422452099,1,0.496338731981587,1,1.10937314260538,-0.00974159657505057,4.32051846820867,1.50052299528277e-12,3,36
3.94484238743314,0.0540822203918182,1.40822041509651,1.0985922749827,-0.0096502759056395,4.32038282181216,1,1.40822041509651,4.63485819081565,500.817172006662,1,0.492672006581371,1,1.09859227510555,-0.00965027590281443,4.3203828218022,3.1338517412483e-10,3,37
3.90409406426158,0.0539660922546051,1.40817876848468,1.08746051279033,-0.00969116266914431,4.31968886620226,1,1.40817876848468,4.62322502834717,565.177704504485,1,0.488868048147566,1,1.08746051295002,-0.00969116266341497,4.31968886618723,6.09167449473077e-10,3,39
3.8602132608989,0.0539100895269955,1.40814034988444,1.07528764259215,-0.0097198961918437,4.31814563814332,1,1.40814034988444,4.61006137812126,658.459328611619,1,0.484689805869596,1,1.07528764344751,-0.00971989623627265,4.31814563808978,4.63964553302881e-09,3,41
3.81299145025122,0.0536824294002437,1.40810505900575,1.06239820375465,-0.00978688791199172,4.31615473072805,1,1.40810505900575,4.59598562832164,793.971171158553,1,0.480236136088708,1,1.06239820375485,-0.00978688791175599,4.31615473072802,2.40875787309438e-11,3,43
3.7622106632908,0.0537949757748833,1.40807332032514,1.04815618937302,-0.00973141990003175,4.31343717684176,1,1.40807332032514,4.58020770801322,1041.84747921063,1,0.475281314073945,1,1.0481561893815,-0.00973141989616647,4.31343717684135,3.97277714689551e-10,3,43
3.70764444304534,0.0536592237075868,1.40804610786178,1.03321957801319,-0.00973671314431556,4.31022538792547,1,1.40804610786178,4.56356364173709,1520.56942370074,1,0.470042588463245,1,1.03321957826324,-0.00973671325835073,4.310225387919,1.1714375483148e-08,3,45
3.64905980044148,0.0532652944866645,1.40802343190509,1.01773580932371,-0.00983991053770295,4.3057514460811,1,1.40802343190509,4.54572015608805,2839.82763142807,1,0.464575295647573,1,1.01773580932557,-0.0098399104951876,4.30575144607957,4.32070522069241e-09,3,66
3.5862167095378,0.0530725691548095,1.4080058983226,1.000847126522,-0.00988583360572644,4.30105900039396,1,1.4080058983226,4.52626976323066,38261.0054171419,1,0.458736239842351,1,1.00132142315677,-0.00988290798518954,4.29991692576096,0.000618599635824531,3,2121
3.51887000536048,0.0530020008638704,1.40799485162051,0.982454941143596,-0.00987111246877669,4.29523555147539,1,1.40799485162051,4.50545860017057,2912.57533455021,1,-0.451926587453033,1,0.982454941142352,-0.00987111243757649,4.29523555147654,3.16075853897734e-09,3,54
3.44677090372897,0.0525009507297812,1.40799111242671,0.963754024199554,-0.0100047265575915,4.28804144323414,1,1.40799111242671,4.48341720013174,1404.27048435095,1,-0.445131363226281,1,0.963754023860749,-0.0100047264355925,4.28804144332894,1.21992313659544e-08,3,35
3.36966926001039,0.0521251005805263,1.40799517443881,0.94344288692975,-0.0100872251497693,4.28054569566317,1,1.40799517443881,4.45997180788989,901.931580039542,1,-0.437658900927949,1,0.94344288686205,-0.0100872251370849,4.28054569567873,1.25952291970719e-09,3,26
3.28731412019909,0.0518181324324959,1.40800780900658,0.92143086386963,-0.0101113900427337,4.27146879752048,1,1.40800780900658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10
